season,daynum,wteam,wscore,lteam,lscore,numot
C,137,836,75,551,72,NA
C,138,511,82,624,49,NA
C,138,559,78,625,68,NA
C,138,662,67,623,61,NA
C,138,671,63,736,56,NA
C,138,708,93,546,83,NA
C,138,821,75,515,69,NA
C,138,840,81,743,66,NA
C,138,843,75,549,74,NA
C,139,577,79,722,73,NA
C,139,640,88,780,61,NA
C,139,738,80,574,65,NA
C,139,741,80,636,75,NA
C,139,783,83,836,65,NA
C,139,786,56,701,46,NA
C,139,810,85,670,82,NA
C,139,826,83,595,77,NA
C,143,511,87,662,79,NA
C,143,559,75,840,74,NA
C,143,708,73,671,58,NA
C,143,821,65,843,62,NA
C,144,577,80,786,67,NA
C,144,640,94,810,68,NA
C,144,741,74,826,68,NA
C,144,783,67,738,59,NA
C,145,708,75,559,64,NA
C,145,821,76,511,51,NA
C,146,640,86,577,84,NA
C,146,783,79,741,77,NA
C,152,640,86,783,85,NA
C,152,821,65,708,59,NA
C,154,640,78,821,69,NA
D,136,515,94,766,80,NA
D,136,518,80,848,41,NA
D,136,559,91,820,66,NA
D,136,562,62,651,58,NA
D,136,574,56,810,53,NA
D,136,592,75,728,61,NA
D,136,607,75,673,63,NA
D,136,625,108,599,88,NA
D,136,628,77,805,64,NA
D,136,662,82,826,60,NA
D,136,701,61,676,59,NA
D,136,720,72,687,58,NA
D,136,722,69,786,61,NA
D,136,778,69,752,43,NA
D,136,783,69,508,57,NA
D,136,842,76,708,74,NA
D,137,546,81,741,70,NA
D,137,549,72,602,48,NA
D,137,577,99,593,58,NA
D,137,636,95,587,74,NA
D,137,640,82,702,60,NA
D,137,668,75,642,54,NA
D,137,669,59,840,58,NA
D,137,671,76,686,53,NA
D,137,674,72,829,70,NA
D,137,678,43,849,32,NA
D,137,721,61,511,60,NA
D,137,738,58,793,54,NA
D,137,789,61,639,54,NA
D,137,790,62,570,52,NA
D,137,802,62,554,53,NA
D,137,821,80,516,58,NA
D,138,518,81,722,74,NA
D,138,559,78,701,56,NA
D,138,592,82,842,74,NA
D,138,607,82,783,74,NA
D,138,628,82,515,72,NA
D,138,662,75,562,63,NA
D,138,720,75,574,44,NA
D,138,778,86,625,61,NA
D,139,577,97,802,56,NA
D,139,640,92,636,88,NA
D,139,669,66,821,58,NA
D,139,671,74,674,66,NA
D,139,678,81,790,51,NA
D,139,721,85,546,72,NA
D,139,738,73,668,63,NA
D,139,789,64,549,54,NA
D,143,559,78,628,68,NA
D,143,607,73,592,72,NA
D,143,720,72,518,64,NA
D,143,778,76,662,62,NA
D,144,577,78,678,61,NA
D,144,640,58,669,43,NA
D,144,671,54,721,46,NA
D,144,789,77,738,55,NA
D,145,559,67,607,62,NA
D,145,720,77,778,74,NA
D,146,577,85,789,64,NA
D,146,671,73,640,66,NA
D,152,559,64,720,58,NA
D,152,577,68,671,62,NA
D,154,559,77,577,74,NA
E,136,511,71,632,47,NA
E,136,518,72,562,69,NA
E,136,607,77,651,66,NA
E,136,629,88,544,78,NA
E,136,640,85,775,80,NA
E,136,655,64,762,61,NA
E,136,662,74,627,59,NA
E,136,671,65,826,38,NA
E,136,721,74,848,50,NA
E,136,738,62,569,61,NA
E,136,778,61,713,56,NA
E,136,786,79,752,65,NA
E,136,793,77,626,61,NA
E,136,810,65,520,57,NA
E,136,821,48,780,45,NA
E,136,849,66,597,56,NA
E,137,549,64,816,47,NA
E,137,559,75,822,67,NA
E,137,577,82,643,55,NA
E,137,592,69,535,68,NA
E,137,623,68,728,58,NA
E,137,636,81,573,77,NA
E,137,668,75,515,71,NA
E,137,708,84,676,70,NA
E,137,720,87,510,61,NA
E,137,722,86,615,66,NA
E,137,730,77,625,57,NA
E,137,764,72,725,71,NA
E,137,783,84,747,65,NA
E,137,789,73,642,47,NA
E,137,790,63,811,58,NA
E,137,802,89,817,62,NA
E,138,607,82,778,76,NA
E,138,629,79,518,60,NA
E,138,655,72,793,67,NA
E,138,671,73,821,61,NA
E,138,738,66,721,62,NA
E,138,786,52,640,50,NA
E,138,810,105,662,70,NA
E,138,849,66,511,59,NA
E,139,577,69,636,64,NA
E,139,592,93,623,76,NA
E,139,668,75,720,62,NA
E,139,708,60,783,53,NA
E,139,722,75,730,67,NA
E,139,764,67,789,65,NA
E,139,790,65,559,51,NA
E,139,802,69,549,61,NA
E,143,629,80,810,56,NA
E,143,671,75,786,58,NA
E,143,738,75,607,66,NA
E,143,849,61,655,48,NA
E,144,592,87,577,78,NA
E,144,708,74,790,69,NA
E,144,722,68,764,66,NA
E,144,802,80,668,71,NA
E,145,671,75,629,64,NA
E,145,849,64,738,60,NA
E,146,592,77,722,65,NA
E,146,708,59,802,55,NA
E,152,592,71,708,59,NA
E,152,671,53,849,41,NA
E,154,671,89,592,76,NA
F,134,716,71,848,67,NA
F,136,527,68,774,65,NA
F,136,549,84,536,59,NA
F,136,577,95,679,52,NA
F,136,603,63,515,61,NA
F,136,605,50,849,49,NA
F,136,610,58,629,57,NA
F,136,628,69,562,56,NA
F,136,639,77,625,73,NA
F,136,640,72,616,68,NA
F,136,662,83,602,80,NA
F,136,676,70,604,68,NA
F,136,779,66,606,62,NA
F,136,783,89,815,60,NA
F,136,810,61,615,48,NA
F,136,818,69,722,54,NA
F,136,822,77,720,68,NA
F,137,511,101,579,76,NA
F,137,535,79,839,63,NA
F,137,546,70,790,63,NA
F,137,592,69,835,56,NA
F,137,597,82,539,70,NA
F,137,607,86,830,85,NA
F,137,623,96,716,54,NA
F,137,626,70,721,68,NA
F,137,636,99,565,75,NA
F,137,671,69,506,35,NA
F,137,674,72,627,70,NA
F,137,708,70,736,48,NA
F,137,717,83,853,71,NA
F,137,729,69,737,59,NA
F,137,786,79,613,69,NA
F,137,789,79,793,65,NA
F,138,549,66,639,43,NA
F,138,577,94,676,81,NA
F,138,603,76,610,57,NA
F,138,640,92,628,79,NA
F,138,662,79,605,60,NA
F,138,783,90,779,83,NA
F,138,810,75,822,50,NA
F,138,818,74,527,71,NA
F,139,511,73,535,52,NA
F,139,607,85,626,68,NA
F,139,623,79,546,61,NA
F,139,636,87,786,58,NA
F,139,671,81,597,65,NA
F,139,674,59,717,56,NA
F,139,729,82,708,74,NA
F,139,789,75,592,54,NA
F,143,577,76,810,63,NA
F,143,662,76,603,66,NA
F,143,783,78,549,65,NA
F,143,818,80,640,76,NA
F,144,511,66,674,56,NA
F,144,623,80,636,64,NA
F,144,671,77,607,62,NA
F,144,789,84,729,72,NA
F,145,577,79,818,69,NA
F,145,662,87,783,73,NA
F,146,511,87,623,81,NA
F,146,671,69,789,62,NA
F,152,511,80,671,61,NA
F,152,577,95,662,84,NA
F,154,577,82,511,72,NA
G,134,766,81,508,77,NA
G,136,504,86,590,78,NA
G,136,511,86,757,81,NA
G,136,577,84,848,37,NA
G,136,625,75,821,56,NA
G,136,636,70,616,59,NA
G,136,639,69,722,61,NA
G,136,640,83,826,68,NA
G,136,676,93,668,80,NA
G,136,717,82,546,63,NA
G,136,720,69,568,64,NA
G,136,725,81,680,62,NA
G,136,783,84,835,68,NA
G,136,802,71,660,69,NA
G,136,816,93,818,89,NA
G,136,839,83,730,74,NA
G,136,852,73,607,66,NA
G,137,539,82,728,75,NA
G,137,549,90,528,52,NA
G,137,559,78,610,67,NA
G,137,562,83,592,82,NA
G,137,604,85,687,68,NA
G,137,623,93,754,64,NA
G,137,662,85,766,70,NA
G,137,675,70,664,58,NA
G,137,695,69,671,58,NA
G,137,721,71,622,63,NA
G,137,731,71,544,54,NA
G,137,749,76,796,68,NA
G,137,793,70,527,57,NA
G,137,810,80,674,58,NA
G,137,849,80,778,70,NA
G,137,853,70,613,58,NA
G,138,511,68,852,60,NA
G,138,577,84,717,77,NA
G,138,625,76,816,67,NA
G,138,636,86,783,63,NA
G,138,639,71,504,58,NA
G,138,640,87,802,82,NA
G,138,676,83,720,67,NA
G,138,725,92,839,87,NA
G,139,559,77,695,74,NA
G,139,623,72,562,60,NA
G,139,662,87,849,57,NA
G,139,721,78,853,65,NA
G,139,731,63,539,50,NA
G,139,749,77,604,75,NA
G,139,793,68,675,64,NA
G,139,810,105,549,101,NA
G,143,625,74,577,73,NA
G,143,639,78,731,73,NA
G,143,676,82,810,73,NA
G,143,721,88,511,67,NA
G,144,559,71,749,59,NA
G,144,636,73,623,69,NA
G,144,662,78,640,68,NA
G,144,725,72,793,70,NA
G,145,625,81,639,69,NA
G,145,721,81,676,75,NA
G,146,636,104,725,86,NA
G,146,662,90,559,82,NA
G,152,625,73,721,64,NA
G,152,662,97,636,88,NA
G,154,662,64,625,52,NA
H,134,814,92,804,84,NA
H,136,511,80,828,51,NA
H,136,512,84,666,71,NA
H,136,537,79,562,73,NA
H,136,539,76,695,74,NA
H,136,559,58,536,53,NA
H,136,577,67,557,57,NA
H,136,607,74,549,69,NA
H,136,623,65,835,60,NA
H,136,636,64,822,61,NA
H,136,660,72,616,68,NA
H,136,676,72,749,71,NA
H,136,717,70,845,69,NA
H,136,721,71,747,54,NA
H,136,783,77,753,69,NA
H,136,802,84,569,71,NA
H,136,849,81,842,74,NA
H,137,518,65,779,63,NA
H,137,535,47,675,46,NA
H,137,592,85,751,55,NA
H,137,625,67,504,62,NA
H,137,640,95,631,64,NA
H,137,651,86,519,64,NA
H,137,662,75,816,73,NA
H,137,671,79,556,64,NA
H,137,722,77,728,63,NA
H,137,731,87,838,61,NA
H,137,738,80,655,56,NA
H,137,786,76,658,65,NA
H,137,793,82,814,61,NA
H,137,821,60,725,58,NA
H,137,839,76,586,73,NA
H,137,853,71,800,59,NA
H,138,511,96,607,95,NA
H,138,559,85,783,74,NA
H,138,577,86,537,60,NA
H,138,636,108,512,76,NA
H,138,660,101,676,92,NA
H,138,717,68,623,60,NA
H,138,721,74,539,65,NA
H,138,849,61,802,60,NA
H,139,518,68,839,62,NA
H,139,535,79,651,71,NA
H,139,640,74,821,54,NA
H,139,662,77,853,64,NA
H,139,671,68,592,46,NA
H,139,731,74,625,52,NA
H,139,786,68,722,56,NA
H,139,793,77,738,67,NA
H,143,511,88,717,71,NA
H,143,636,69,577,65,NA
H,143,640,63,849,57,NA
H,143,660,77,731,74,NA
H,144,671,60,662,58,NA
H,144,721,65,535,54,NA
H,144,786,79,518,78,NA
H,144,793,82,559,78,NA
H,145,636,78,511,75,NA
H,145,660,83,640,69,NA
H,146,786,63,721,47,NA
H,146,793,85,671,76,NA
H,152,636,94,660,61,NA
H,152,786,95,793,84,NA
H,154,786,81,636,78,NA
I,134,593,72,644,57,NA
I,136,504,65,749,64,NA
I,136,559,70,828,53,NA
I,136,573,76,569,69,NA
I,136,577,96,506,61,NA
I,136,607,76,826,49,NA
I,136,658,75,592,60,NA
I,136,662,86,824,83,NA
I,136,699,72,671,66,NA
I,136,708,63,502,52,NA
I,136,764,80,511,76,NA
I,136,779,82,645,63,NA
I,136,783,71,820,45,NA
I,136,786,80,536,75,NA
I,136,793,66,736,49,NA
I,136,796,76,546,73,NA
I,136,839,79,825,78,NA
I,137,527,58,821,51,NA
I,137,549,80,586,77,NA
I,137,606,65,714,60,NA
I,137,623,72,687,53,NA
I,137,636,78,622,53,NA
I,137,640,96,593,76,NA
I,137,666,59,769,43,NA
I,137,675,85,679,52,NA
I,137,695,61,811,52,NA
I,137,722,75,582,56,NA
I,137,727,66,737,58,NA
I,137,731,53,809,44,NA
I,137,805,102,840,100,NA
I,137,827,71,836,58,NA
I,137,849,76,743,64,NA
I,137,853,80,651,70,NA
I,138,504,70,783,67,NA
I,138,559,72,573,55,NA
I,138,577,90,764,62,NA
I,138,699,91,607,72,NA
I,138,779,70,796,65,NA
I,138,786,72,662,70,NA
I,138,793,78,708,75,NA
I,138,839,84,658,80,NA
I,139,606,57,527,54,NA
I,139,623,92,549,68,NA
I,139,636,78,727,63,NA
I,139,722,70,666,53,NA
I,139,731,59,849,55,NA
I,139,805,76,640,75,NA
I,139,827,75,695,73,NA
I,139,853,89,675,74,NA
I,143,504,80,786,71,NA
I,143,559,73,827,53,NA
I,143,722,63,731,51,NA
I,143,779,84,839,80,NA
I,144,577,72,623,62,NA
I,144,606,72,699,67,NA
I,144,636,100,805,74,NA
I,144,853,79,793,71,NA
I,145,559,87,504,71,NA
I,145,722,64,779,62,NA
I,146,577,66,853,63,NA
I,146,606,79,636,71,NA
I,152,559,79,577,78,NA
I,152,606,67,722,65,NA
I,154,559,82,606,73,NA
J,134,718,79,505,69,0
J,136,511,66,822,53,0
J,136,527,85,728,65,0
J,136,549,76,628,64,0
J,136,607,74,848,64,0
J,136,623,67,588,55,0
J,136,640,72,580,64,0
J,136,699,61,793,57,0
J,136,721,84,704,67,0
J,136,727,79,731,71,0
J,136,796,78,810,66,0
J,136,805,82,655,68,0
J,136,821,60,824,54,0
J,136,839,70,547,54,0
J,136,840,88,680,77,0
J,136,843,63,562,61,0
J,136,845,83,504,73,0
J,137,533,64,636,63,0
J,137,559,77,809,71,0
J,137,577,57,571,46,0
J,137,592,67,719,62,0
J,137,606,80,599,68,0
J,137,629,64,673,53,0
J,137,651,68,811,62,0
J,137,671,89,723,81,0
J,137,675,93,783,70,0
J,137,695,75,546,63,0
J,137,708,96,718,68,0
J,137,722,63,761,50,0
J,137,749,65,781,56,0
J,137,828,60,786,57,1
J,137,829,55,701,47,0
J,137,849,57,714,52,0
J,138,511,85,805,63,0
J,138,623,71,699,59,0
J,138,640,69,549,60,0
J,138,796,71,607,69,0
J,138,821,67,721,58,0
J,138,840,97,727,79,0
J,138,843,111,839,105,2
J,138,845,83,527,75,0
J,139,577,63,675,55,0
J,139,651,76,606,54,0
J,139,671,72,828,61,0
J,139,695,65,559,62,0
J,139,708,92,629,65,0
J,139,722,85,749,77,0
J,139,829,76,592,65,0
J,139,849,71,533,62,0
J,143,511,79,722,78,0
J,143,623,77,845,63,0
J,143,651,93,840,79,0
J,143,843,65,796,60,0
J,144,640,62,821,52,0
J,144,671,78,577,68,0
J,144,708,67,829,66,0
J,144,849,65,695,56,0
J,145,623,90,511,89,1
J,145,651,93,843,85,1
J,146,671,94,640,88,2
J,146,708,88,849,82,0
J,152,623,72,651,57,0
J,152,708,87,671,71,0
J,154,708,75,623,70,0
K,134,679,71,610,49,0
K,136,504,90,660,85,0
K,136,527,88,727,76,2
K,136,577,70,773,54,0
K,136,592,76,768,50,0
K,136,599,88,816,85,1
K,136,607,79,853,75,0
K,136,623,78,502,69,0
K,136,625,87,754,83,0
K,136,655,80,627,64,0
K,136,680,87,699,79,0
K,136,790,63,848,61,0
K,136,794,66,786,58,0
K,136,810,78,522,44,0
K,136,840,75,822,61,0
K,136,845,82,721,74,0
K,136,846,86,764,66,0
K,137,511,94,849,75,0
K,137,530,77,636,73,0
K,137,533,59,515,55,0
K,137,559,72,507,59,0
K,137,602,75,671,65,0
K,137,603,54,714,49,0
K,137,640,69,805,64,0
K,137,666,94,724,78,0
K,137,695,58,539,52,0
K,137,708,69,687,65,0
K,137,716,64,628,63,0
K,137,720,70,568,62,0
K,137,731,79,639,64,0
K,137,793,60,728,52,0
K,137,829,58,679,45,0
K,137,843,64,749,46,0
K,138,527,69,680,56,0
K,138,577,74,599,61,0
K,138,592,82,845,60,0
K,138,607,90,625,80,0
K,138,655,58,794,57,0
K,138,810,62,504,59,0
K,138,840,67,623,64,0
K,138,846,80,790,73,0
K,139,530,72,731,66,0
K,139,559,87,640,83,0
K,139,602,65,708,60,0
K,139,603,70,720,52,0
K,139,666,72,533,56,0
K,139,793,75,695,54,0
K,139,829,82,511,78,0
K,139,843,67,716,54,0
K,143,655,62,577,54,0
K,143,666,80,530,64,0
K,143,793,74,843,71,0
K,143,810,73,607,71,0
K,144,559,98,840,92,1
K,144,592,57,603,53,0
K,144,602,63,846,55,0
K,144,829,60,527,59,1
K,145,655,70,793,60,1
K,145,810,50,666,45,0
K,146,592,75,829,62,0
K,146,602,86,559,84,1
K,152,592,73,602,58,0
K,152,810,59,655,45,0
K,154,592,73,810,57,0
L,134,704,77,593,69,0
L,136,527,84,796,75,0
L,136,535,57,723,46,0
L,136,603,80,522,55,0
L,136,625,70,607,57,0
L,136,651,78,783,58,0
L,136,662,82,568,70,0
L,136,671,61,660,49,0
L,136,708,86,580,65,0
L,136,720,78,544,57,0
L,136,731,79,851,58,0
L,136,794,68,728,52,0
L,136,810,70,842,42,0
L,136,825,79,577,77,0
L,136,827,77,599,44,0
L,136,841,70,724,54,0
L,136,853,79,536,77,0
L,137,592,112,632,69,0
L,137,636,107,704,67,0
L,137,640,67,829,58,0
L,137,666,73,711,58,0
L,137,699,77,562,71,1
L,137,725,58,669,56,0
L,137,738,72,511,63,0
L,137,749,61,616,51,0
L,137,790,121,647,86,0
L,137,793,79,702,67,0
L,137,817,67,606,63,0
L,137,818,77,515,60,0
L,137,830,84,507,57,0
L,137,831,54,623,52,0
L,137,848,74,717,64,0
L,137,849,76,787,63,0
L,138,535,62,662,59,0
L,138,603,62,527,55,0
L,138,708,81,671,67,0
L,138,720,78,853,71,1
L,138,731,84,825,79,1
L,138,794,72,651,69,0
L,138,810,54,625,49,0
L,138,827,78,841,74,2
L,139,592,74,738,67,0
L,139,636,88,640,76,0
L,139,666,78,699,62,0
L,139,725,75,848,61,0
L,139,749,63,831,48,0
L,139,790,77,830,74,0
L,139,817,74,849,68,0
L,139,818,87,793,68,0
L,143,636,61,749,58,0
L,143,666,65,794,64,0
L,143,720,85,790,84,0
L,143,810,64,731,55,0
L,144,592,65,535,57,0
L,144,603,66,827,65,0
L,144,708,74,818,64,0
L,144,725,76,817,72,0
L,145,720,92,666,76,0
L,145,810,68,636,55,0
L,146,592,85,725,77,0
L,146,603,96,708,84,1
L,152,592,76,810,66,0
L,152,720,67,603,60,0
L,154,592,84,720,75,0
M,134,686,69,560,60,0
M,136,577,71,522,70,0
M,136,636,85,733,61,0
M,136,637,80,818,67,0
M,136,660,74,640,66,0
M,136,671,72,789,61,0
M,136,717,68,602,50,0
M,136,731,82,724,63,0
M,136,738,90,521,79,0
M,136,783,77,561,53,0
M,136,794,67,536,62,0
M,136,810,70,685,29,0
M,136,817,71,639,58,0
M,136,841,71,848,40,0
M,136,843,75,511,65,0
M,136,849,71,564,56,0
M,136,853,73,604,61,0
M,137,515,86,625,72,0
M,137,535,81,768,61,0
M,137,568,82,607,76,0
M,137,603,66,813,47,0
M,137,651,79,526,61,0
M,137,666,87,819,63,0
M,137,668,78,781,64,0
M,137,675,76,725,69,0
M,137,708,113,686,74,0
M,137,721,72,779,64,0
M,137,753,70,559,69,1
M,137,766,83,827,62,0
M,137,790,72,509,57,0
M,137,793,74,519,54,0
M,137,829,75,551,69,0
M,137,835,101,575,99,1
M,138,636,75,817,56,0
M,138,671,65,731,54,0
M,138,783,82,660,81,1
M,138,810,51,794,49,0
M,138,841,61,717,41,0
M,138,843,73,577,67,0
M,138,849,72,637,55,0
M,138,853,85,738,78,0
M,139,568,74,603,70,0
M,139,651,78,721,48,0
M,139,666,77,675,74,0
M,139,708,108,515,77,0
M,139,790,76,535,71,1
M,139,793,75,668,72,0
M,139,829,84,766,72,0
M,139,835,72,753,63,0
M,143,651,79,790,60,0
M,143,708,68,841,47,0
M,143,810,88,835,78,0
M,143,853,79,843,75,1
M,144,568,73,849,56,0
M,144,636,72,829,57,0
M,144,666,92,671,74,0
M,144,793,82,783,62,0
M,145,708,83,651,73,0
M,145,810,76,853,57,0
M,146,636,59,568,57,0
M,146,666,85,793,67,0
M,152,636,84,708,66,0
M,152,666,78,810,63,0
M,154,636,75,666,68,1
N,134,682,58,506,43,0
N,136,559,103,547,47,0
N,136,577,86,524,62,0
N,136,607,77,503,64,0
N,136,655,75,535,71,0
N,136,662,84,539,71,0
N,136,666,81,565,70,0
N,136,670,62,551,59,0
N,136,708,101,740,58,0
N,136,721,82,683,54,0
N,136,738,61,714,56,0
N,136,793,76,673,62,0
N,136,794,79,536,66,0
N,136,810,65,825,64,0
N,136,829,80,509,67,0
N,136,835,76,623,72,0
N,136,840,71,675,58,0
N,137,511,84,821,71,0
N,137,512,66,789,57,0
N,137,552,84,839,69,0
N,137,569,68,843,60,0
N,137,636,84,689,74,0
N,137,651,74,682,54,0
N,137,660,58,822,57,0
N,137,671,77,745,62,0
N,137,676,78,561,59,0
N,137,722,77,790,75,0
N,137,731,72,586,62,0
N,137,766,74,720,72,2
N,137,786,59,765,44,0
N,137,818,72,527,55,0
N,137,849,61,595,59,1
N,137,853,77,733,59,0
N,138,559,92,794,66,0
N,138,577,74,793,69,0
N,138,607,83,835,81,0
N,138,666,89,662,70,0
N,138,708,84,655,70,0
N,138,721,73,670,63,0
N,138,738,76,840,74,0
N,138,829,89,810,69,0
N,139,511,71,552,57,0
N,139,636,60,569,43,0
N,139,651,79,766,72,0
N,139,671,74,818,69,0
N,139,676,83,660,79,0
N,139,731,84,722,76,0
N,139,786,78,512,67,0
N,139,853,60,849,49,0
N,143,559,72,738,60,0
N,143,676,102,666,91,0
N,143,731,60,853,55,0
N,143,829,77,577,54,0
N,144,651,103,511,64,0
N,144,671,67,636,62,0
N,144,708,98,607,77,0
N,144,721,84,786,71,0
N,145,559,82,676,75,0
N,145,829,78,731,76,0
N,146,671,64,651,52,0
N,146,708,72,721,60,0
N,152,671,82,559,73,0
N,152,708,83,829,69,0
N,154,708,89,671,72,0
O,134,514,61,848,44,0
O,136,521,68,751,59,0
O,136,535,77,824,59,0
O,136,536,99,592,92,2
O,136,636,90,644,74,0
O,136,637,82,711,62,0
O,136,640,100,586,71,0
O,136,687,66,827,65,0
O,136,701,62,680,57,0
O,136,714,69,817,66,0
O,136,719,97,603,83,0
O,136,723,51,717,50,0
O,136,781,80,743,71,0
O,136,790,62,754,59,0
O,136,829,73,745,70,1
O,136,839,81,793,80,1
O,136,840,80,660,78,0
O,137,539,77,651,62,0
O,137,561,78,789,65,0
O,137,577,73,514,44,0
O,137,606,64,722,59,0
O,137,607,67,595,60,0
O,137,662,89,617,77,0
O,137,671,70,702,67,0
O,137,676,86,551,78,0
O,137,720,68,757,51,0
O,137,731,89,718,66,0
O,137,738,72,766,64,0
O,137,786,79,828,56,0
O,137,794,69,822,53,0
O,137,843,77,683,50,0
O,137,849,53,850,49,0
O,137,853,65,673,54,0
O,138,521,76,723,68,0
O,138,535,54,687,52,0
O,138,637,84,536,72,0
O,138,640,90,839,60,0
O,138,714,69,636,67,0
O,138,781,75,829,68,0
O,138,790,83,719,68,0
O,138,840,82,701,64,0
O,139,561,87,849,69,0
O,139,577,68,539,53,0
O,139,671,85,662,83,0
O,139,720,75,606,66,0
O,139,738,63,794,61,1
O,139,786,87,607,65,0
O,139,843,68,676,59,0
O,139,853,71,731,68,0
O,143,535,63,786,59,0
O,143,637,101,853,96,2
O,143,640,62,561,45,0
O,143,843,69,840,56,0
O,144,521,72,781,49,0
O,144,577,70,738,57,0
O,144,671,59,714,52,0
O,144,790,76,720,73,0
O,145,535,63,637,56,0
O,145,843,73,640,66,0
O,146,577,78,521,71,0
O,146,671,70,790,69,0
O,152,535,52,671,50,0
O,152,577,78,843,57,0
O,154,577,61,535,59,0
