"id","name"
669,"Miami OH"
670,"Michigan"
671,"Michigan State"
672,"Middle Tennessee"
673,"Minnesota"
674,"Mississippi"
675,"Mississippi State"
676,"Missouri"
677,"Missouri Kansas City"
678,"Missouri State"
679,"Monmouth"
680,"Montana"
681,"Montana State"
682,"Morehead State"
683,"Morgan State"
684,"Morris Brown"
685,"Mississippi Valley State"
686,"Mount St Marys"
687,"Murray State"
688,"Northern Colorado"
689,"North Dakota State"
690,"Northern Illinois"
691,"Northern Kentucky"
692,"Navy"
693,"North Carolina AT"
694,"North Carolina Central"
695,"North Carolina State"
696,"Northeastern Illinois"
697,"Nebraska Omaha"
698,"Nebraska"
699,"Nevada"
700,"New Hampshire"
701,"New Mexico"
702,"New Mexico State"
703,"New Orleans"
704,"Niagara"
705,"Nicholls State"
706,"NJIT"
707,"Norfolk State"
708,"North Carolina"
709,"North Dakota"
710,"North Florida"
711,"North Texas"
712,"Northeastern"
713,"Northern Arizona"
714,"Northern Iowa"
715,"Northwestern"
716,"Northwestern State"
717,"Notre Dame"
718,"Oakland"
719,"Ohio"
720,"Ohio State"
721,"Oklahoma"
722,"Oklahoma State"
723,"Old Dominion"
724,"Oral Roberts"
725,"Oregon"
726,"Oregon State"
727,"Pacific"
728,"Pennsylvania"
729,"Penn State"
730,"Pepperdine"
731,"Pittsburgh"
732,"Portland"
733,"Portland State"
734,"Prairie View"
735,"Presbyterian"
736,"Princeton"
737,"Providence"
738,"Purdue"
739,"Quinnipiac"
740,"Radford"
741,"Rhode Island"
742,"Rice"
743,"Richmond"
744,"Rider"
745,"Robert Morris"
746,"Rutgers"
747,"South Carolina State"
748,"South Dakota State"
749,"Southern Illinois"
750,"Sacred Heart"
751,"Sam Houston State"
752,"Samford"
753,"San Diego"
754,"San Diego State"
755,"San Francisco"
756,"San Jose State"
757,"California-Santa Barbara"
758,"Santa Clara"
759,"Savannah State"
760,"South Carolina Upstate"
761,"Southeastern Louisiana"
762,"Southeast Missouri State"
763,"Seattle"
764,"Seton Hall"
765,"Stephen F Austin"
766,"Siena"
767,"Southern Methodist"
768,"South Alabama"
769,"South Carolina"
770,"South Dakota"
771,"South Florida"
772,"Southern Mississippi"
773,"Southern"
774,"Southern Utah"
775,"St Bonaventure"
776,"St Francis NY"
777,"Saint Francis PA"
778,"St Johns NY"
779,"Saint Josephs"
780,"Saint Louis"
781,"Saint Marys CA"
782,"Saint Peters"
783,"Stanford"
784,"Stetson"
785,"Stony Brook"
786,"Syracuse"
787,"Texas AM Corpus Christi"
788,"Texas Christian"
789,"Temple"
790,"Tennessee"
791,"Tennessee State"
792,"Tennessee Tech"
793,"Texas"
794,"Texas AM"
795,"Texas State"
796,"Texas Tech"
797,"Tennessee-Martin"
798,"Toledo"
799,"Towson"
800,"Troy"
801,"Tulane"
802,"Tulsa"
803,"Texas Pan American"
804,"Texas Southern"
805,"Alabama-Birmingham"
806,"California Davis"
807,"California Irvine"
808,"California Riverside"
809,"Central Florida"
810,"UCLA"
811,"Louisiana-Lafayette"
812,"Louisiana-Monroe"
813,"Maryland-Baltimore County"
814,"North Carolina Asheville"
815,"North Carolina Greensboro"
816,"North Carolina Wilmington"
817,"Nevada Las Vegas"
818,"Southern California"
819,"Texas Arlington"
820,"Texas San Antonio"
821,"Utah"
822,"Utah State"
823,"Utah Valley"
824,"Texas El Paso"
825,"Virginia Commonwealth"
826,"Valparaiso"
827,"Vanderbilt"
828,"Vermont"
829,"Villanova"
830,"Virginia"
831,"Virginia Tech"
832,"Virginia Military Institute"
833,"Western Carolina"
834,"Western Illinois"
835,"Western Kentucky"
836,"Western Michigan"
837,"Winston-Salem"
838,"Wagner"
839,"Wake Forest"
840,"Washington"
841,"Washington State"
842,"Weber State"
843,"West Virginia"
844,"Green Bay"
845,"Milwaukee"
846,"Wichita State"
847,"William Mary"
848,"Winthrop"
849,"Wisconsin"
850,"Wofford"
851,"Wright State"
852,"Wyoming"
853,"Xavier"
854,"Yale"
855,"Youngstown State"
856,"Incarnate Word"
