"id","name","from"
552,"Cleveland State","sports-reference"
552,"Cleveland St","kaggle"
553,"Coastal Carolina","sports-reference"
553,"Coastal Car","kaggle"
554,"College of Charleston","sports-reference"
554,"Col Charleston","kaggle"
555,"Colgate","kaggle"
555,"Colgate","sports-reference"
556,"Colorado","kaggle"
556,"Colorado","sports-reference"
557,"Colorado State","sports-reference"
557,"Colorado St","kaggle"
558,"Columbia","kaggle"
558,"Columbia","sports-reference"
559,"Connecticut","kaggle"
559,"Connecticut","sports-reference"
560,"Coppin State","sports-reference"
560,"Coppin St","kaggle"
561,"Cornell","kaggle"
561,"Cornell","sports-reference"
562,"Creighton","kaggle"
562,"Creighton","sports-reference"
563,"Cal State Bakersfield","sports-reference"
563,"CS Bakersfield","kaggle"
564,"Cal State Fullerton","sports-reference"
564,"CS Fullerton","kaggle"
565,"Cal State Northridge","sports-reference"
565,"CS Northridge","kaggle"
566,"Sacramento State","sports-reference"
566,"CS Sacramento","kaggle"
567,"Dartmouth","kaggle"
567,"Dartmouth","sports-reference"
568,"Davidson","kaggle"
568,"Davidson","sports-reference"
569,"Dayton","kaggle"
569,"Dayton","sports-reference"
570,"Delaware","kaggle"
570,"Delaware","sports-reference"
571,"Delaware State","sports-reference"
571,"Delaware St","kaggle"
572,"Denver","kaggle"
572,"Denver","sports-reference"
573,"DePaul","kaggle"
573,"DePaul","sports-reference"
574,"Detroit Mercy","sports-reference"
574,"Detroit","kaggle"
575,"Drake","kaggle"
575,"Drake","sports-reference"
576,"Drexel","kaggle"
576,"Drexel","sports-reference"
577,"Duke","kaggle"
577,"Duke","sports-reference"
578,"Duquesne","kaggle"
578,"Duquesne","sports-reference"
579,"Eastern Illinois","sports-reference"
579,"E Illinois","kaggle"
580,"Eastern Kentucky","sports-reference"
580,"E Kentucky","kaggle"
581,"Eastern Michigan","sports-reference"
581,"E Michigan","kaggle"
582,"Eastern Washington","sports-reference"
582,"E Washington","kaggle"
583,"East Carolina","kaggle"
583,"East Carolina","sports-reference"
584,"southern Illinois-Edwardsville","sports-reference"
584,"Edwardsville","kaggle"
585,"Elon","kaggle"
585,"Elon","sports-reference"
586,"East Tennessee State","sports-reference"
586,"ETSU","kaggle"
587,"Evansville","kaggle"
587,"Evansville","sports-reference"
588,"Fairleigh Dickinson","sports-reference"
588,"F Dickinson","kaggle"
589,"Fairfield","kaggle"
589,"Fairfield","sports-reference"
590,"Florida Atlantic","sports-reference"
590,"FL Atlantic","kaggle"
591,"Florida Gulf Coast","sports-reference"
591,"FL Gulf Coast","kaggle"
592,"Florida","kaggle"
592,"Florida","sports-reference"
593,"Florida AM","sports-reference"
593,"Florida A&M","kaggle"
594,"Florida International","sports-reference"
594,"Florida Intl","kaggle"
595,"Florida State","sports-reference"
595,"Florida St","kaggle"
596,"Fordham","kaggle"
596,"Fordham","sports-reference"
597,"Fresno State","sports-reference"
597,"Fresno St","kaggle"
598,"Furman","kaggle"
598,"Furman","sports-reference"
599,"George Washington","sports-reference"
599,"G Washington","kaggle"
600,"Georgia Southern","sports-reference"
600,"Ga Southern","kaggle"
601,"Gardner Webb","kaggle"
601,"Gardner Webb","sports-reference"
602,"George Mason","kaggle"
602,"George Mason","sports-reference"
603,"Georgetown","kaggle"
603,"Georgetown","sports-reference"
604,"Georgia","kaggle"
604,"Georgia","sports-reference"
605,"Georgia State","sports-reference"
605,"Georgia St","kaggle"
606,"Georgia Tech","kaggle"
606,"Georgia Tech","sports-reference"
607,"Gonzaga","kaggle"
607,"Gonzaga","sports-reference"
608,"Grambling","kaggle"
608,"Grambling","sports-reference"
609,"Grand Canyon","kaggle"
609,"Grand Canyon","sports-reference"
610,"Hampton","kaggle"
610,"Hampton","sports-reference"
611,"Hartford","kaggle"
611,"Hartford","sports-reference"
612,"Harvard","kaggle"
612,"Harvard","sports-reference"
613,"Hawaii","kaggle"
613,"Hawaii","sports-reference"
614,"High Point","kaggle"
614,"High Point","sports-reference"
615,"Hofstra","kaggle"
615,"Hofstra","sports-reference"
616,"Holy Cross","kaggle"
616,"Holy Cross","sports-reference"
617,"Houston","kaggle"
617,"Houston","sports-reference"
618,"Houston Baptist","sports-reference"
618,"Houston Bap","kaggle"
619,"Howard","kaggle"
619,"Howard","sports-reference"
620,"Idaho","kaggle"
620,"Idaho","sports-reference"
621,"Idaho State","sports-reference"
621,"Idaho St","kaggle"
622,"Illinois Chicago","sports-reference"
622,"IL Chicago","kaggle"
623,"Illinois","kaggle"
623,"Illinois","sports-reference"
624,"Illinois State","sports-reference"
624,"Illinois St","kaggle"
625,"Indiana","kaggle"
625,"Indiana","sports-reference"
626,"Indiana State","sports-reference"
626,"Indiana St","kaggle"
627,"Iona","kaggle"
627,"Iona","sports-reference"
628,"Iowa","kaggle"
628,"Iowa","sports-reference"
629,"Iowa State","sports-reference"
629,"Iowa St","kaggle"
630,"IPFW","kaggle"
630,"IPFW","sports-reference"
631,"IUPUI","kaggle"
631,"IUPUI","sports-reference"
632,"Jackson State","sports-reference"
632,"Jackson St","kaggle"
633,"Jacksonville","kaggle"
633,"Jacksonville","sports-reference"
634,"Jacksonville State","sports-reference"
634,"Jacksonville St","kaggle"
635,"James Madison","kaggle"
635,"James Madison","sports-reference"
636,"Kansas","kaggle"
636,"Kansas","sports-reference"
637,"Kansas State","sports-reference"
637,"Kansas St","kaggle"
638,"Kennesaw State","sports-reference"
638,"Kennesaw","kaggle"
639,"Kent State","sports-reference"
639,"Kent","kaggle"
640,"Kentucky","kaggle"
640,"Kentucky","sports-reference"
641,"La Salle","kaggle"
641,"La Salle","sports-reference"
642,"Lafayette","kaggle"
642,"Lafayette","sports-reference"
643,"Lamar","kaggle"
643,"Lamar","sports-reference"
644,"Lehigh","kaggle"
644,"Lehigh","sports-reference"
645,"Liberty","kaggle"
645,"Liberty","sports-reference"
646,"Lipscomb","kaggle"
646,"Lipscomb","sports-reference"
647,"Long Beach State","sports-reference"
647,"Long Beach St","kaggle"
648,"Long Island University","sports-reference"
648,"Long Island","kaggle"
649,"Longwood","kaggle"
649,"Longwood","sports-reference"
650,"Louisiana Tech","kaggle"
650,"Louisiana Tech","sports-reference"
651,"Louisville","kaggle"
651,"Louisville","sports-reference"
652,"Loyola Marymount","sports-reference"
652,"Loy Marymount","kaggle"
653,"Loyola MD","kaggle"
653,"Loyola MD","sports-reference"
654,"Loyola IL","sports-reference"
654,"Loyola-Chicago","kaggle"
655,"Louisiana State","sports-reference"
655,"LSU","kaggle"
656,"Massachusetts Lowell","sports-reference"
656,"MA Lowell","kaggle"
657,"Maine","kaggle"
657,"Maine","sports-reference"
658,"Manhattan","kaggle"
658,"Manhattan","sports-reference"
659,"Marist","kaggle"
659,"Marist","sports-reference"
660,"Marquette","kaggle"
660,"Marquette","sports-reference"
661,"Marshall","kaggle"
661,"Marshall","sports-reference"
662,"Maryland","kaggle"
662,"Maryland","sports-reference"
663,"Massachusetts","kaggle"
663,"Massachusetts","sports-reference"
664,"McNeese State","sports-reference"
664,"McNeese St","kaggle"
665,"Maryland Eastern Shore","sports-reference"
665,"MD E Shore","kaggle"
666,"Memphis","kaggle"
666,"Memphis","sports-reference"
667,"Mercer","kaggle"
667,"Mercer","sports-reference"
668,"Miami FL","kaggle"
668,"Miami FL","sports-reference"
669,"Miami OH","kaggle"
669,"Miami OH","sports-reference"
670,"Michigan","kaggle"
670,"Michigan","sports-reference"
671,"Michigan State","sports-reference"
671,"Michigan St","kaggle"
672,"Middle Tennessee","sports-reference"
672,"Middle Tenn St","kaggle"
673,"Minnesota","kaggle"
673,"Minnesota","sports-reference"
674,"Mississippi","kaggle"
674,"Mississippi","sports-reference"
675,"Mississippi State","sports-reference"
675,"Mississippi St","kaggle"
676,"Missouri","kaggle"
676,"Missouri","sports-reference"
677,"Missouri Kansas City","sports-reference"
677,"Missouri KC","kaggle"
678,"Missouri State","sports-reference"
678,"Missouri St","kaggle"
679,"Monmouth","sports-reference"
679,"Monmouth NJ","kaggle"
680,"Montana","kaggle"
680,"Montana","sports-reference"
681,"Montana State","sports-reference"
681,"Montana St","kaggle"
682,"Morehead State","sports-reference"
682,"Morehead St","kaggle"
683,"Morgan State","sports-reference"
683,"Morgan St","kaggle"
684,"Morris Brown","kaggle"
684,"Morris Brown","sports-reference"
685,"Mississippi Valley State","sports-reference"
685,"MS Valley St","kaggle"
686,"Mount St Marys","sports-reference"
686,"Mt St Mary's","kaggle"
687,"Murray State","sports-reference"
687,"Murray St","kaggle"
688,"Northern Colorado","sports-reference"
688,"N Colorado","kaggle"
689,"North Dakota State","sports-reference"
689,"N Dakota St","kaggle"
690,"Northern Illinois","sports-reference"
690,"N Illinois","kaggle"
691,"Northern Kentucky","sports-reference"
691,"N Kentucky","kaggle"
692,"Navy","kaggle"
692,"Navy","sports-reference"
693,"North Carolina AT","sports-reference"
693,"NC A&T","kaggle"
694,"North Carolina Central","sports-reference"
694,"NC Central","kaggle"
695,"North Carolina State","sports-reference"
695,"NC State","kaggle"
696,"Northeastern Illinois","sports-reference"
696,"NE Illinois","kaggle"
697,"Nebraska Omaha","sports-reference"
697,"NE Omaha","kaggle"
698,"Nebraska","kaggle"
698,"Nebraska","sports-reference"
699,"Nevada","kaggle"
699,"Nevada","sports-reference"
700,"New Hampshire","kaggle"
700,"New Hampshire","sports-reference"
701,"New Mexico","kaggle"
701,"New Mexico","sports-reference"
702,"New Mexico State","sports-reference"
702,"New Mexico St","kaggle"
703,"New Orleans","kaggle"
703,"New Orleans","sports-reference"
704,"Niagara","kaggle"
704,"Niagara","sports-reference"
705,"Nicholls State","sports-reference"
705,"Nicholls St","kaggle"
706,"NJIT","kaggle"
706,"NJIT","sports-reference"
707,"Norfolk State","sports-reference"
707,"Norfolk St","kaggle"
708,"North Carolina","kaggle"
708,"North Carolina","sports-reference"
709,"North Dakota","kaggle"
709,"North Dakota","sports-reference"
710,"North Florida","kaggle"
710,"North Florida","sports-reference"
711,"North Texas","kaggle"
711,"North Texas","sports-reference"
712,"Northeastern","kaggle"
712,"Northeastern","sports-reference"
713,"Northern Arizona","kaggle"
713,"Northern Arizona","sports-reference"
714,"Northern Iowa","kaggle"
714,"Northern Iowa","sports-reference"
715,"Northwestern","kaggle"
715,"Northwestern","sports-reference"
716,"Northwestern State","sports-reference"
716,"Northwestern LA","kaggle"
717,"Notre Dame","kaggle"
717,"Notre Dame","sports-reference"
718,"Oakland","kaggle"
718,"Oakland","sports-reference"
719,"Ohio","kaggle"
719,"Ohio","sports-reference"
720,"Ohio State","sports-reference"
720,"Ohio St","kaggle"
721,"Oklahoma","kaggle"
721,"Oklahoma","sports-reference"
722,"Oklahoma State","sports-reference"
722,"Oklahoma St","kaggle"
723,"Old Dominion","kaggle"
723,"Old Dominion","sports-reference"
724,"Oral Roberts","kaggle"
724,"Oral Roberts","sports-reference"
725,"Oregon","kaggle"
725,"Oregon","sports-reference"
726,"Oregon State","sports-reference"
726,"Oregon St","kaggle"
727,"Pacific","kaggle"
727,"Pacific","sports-reference"
728,"Pennsylvania","sports-reference"
728,"Penn","kaggle"
729,"Penn State","sports-reference"
729,"Penn St","kaggle"
730,"Pepperdine","kaggle"
730,"Pepperdine","sports-reference"
731,"Pittsburgh","kaggle"
731,"Pittsburgh","sports-reference"
732,"Portland","kaggle"
732,"Portland","sports-reference"
733,"Portland State","sports-reference"
733,"Portland St","kaggle"
734,"Prairie View","kaggle"
734,"Prairie View","sports-reference"
735,"Presbyterian","kaggle"
735,"Presbyterian","sports-reference"
736,"Princeton","kaggle"
736,"Princeton","sports-reference"
737,"Providence","kaggle"
737,"Providence","sports-reference"
738,"Purdue","kaggle"
738,"Purdue","sports-reference"
739,"Quinnipiac","kaggle"
739,"Quinnipiac","sports-reference"
740,"Radford","kaggle"
740,"Radford","sports-reference"
741,"Rhode Island","kaggle"
741,"Rhode Island","sports-reference"
742,"Rice","kaggle"
742,"Rice","sports-reference"
743,"Richmond","kaggle"
743,"Richmond","sports-reference"
744,"Rider","kaggle"
744,"Rider","sports-reference"
745,"Robert Morris","kaggle"
745,"Robert Morris","sports-reference"
746,"Rutgers","kaggle"
746,"Rutgers","sports-reference"
747,"South Carolina State","sports-reference"
747,"S Carolina St","kaggle"
748,"South Dakota State","sports-reference"
748,"S Dakota St","kaggle"
749,"Southern Illinois","sports-reference"
749,"S Illinois","kaggle"
750,"Sacred Heart","kaggle"
750,"Sacred Heart","sports-reference"
751,"Sam Houston State","sports-reference"
751,"Sam Houston St","kaggle"
752,"Samford","kaggle"
752,"Samford","sports-reference"
753,"San Diego","kaggle"
753,"San Diego","sports-reference"
754,"San Diego State","sports-reference"
754,"San Diego St","kaggle"
755,"San Francisco","kaggle"
755,"San Francisco","sports-reference"
756,"San Jose State","sports-reference"
756,"San Jose St","kaggle"
757,"California-Santa Barbara","sports-reference"
757,"Santa Barbara","kaggle"
758,"Santa Clara","kaggle"
758,"Santa Clara","sports-reference"
759,"Savannah State","sports-reference"
759,"Savannah St","kaggle"
760,"South Carolina Upstate","sports-reference"
760,"SC Upstate","kaggle"
761,"Southeastern Louisiana","sports-reference"
761,"SE Louisiana","kaggle"
762,"Southeast Missouri State","sports-reference"
762,"SE Missouri St","kaggle"
763,"Seattle","kaggle"
763,"Seattle","sports-reference"
764,"Seton Hall","kaggle"
764,"Seton Hall","sports-reference"
765,"Stephen F Austin","sports-reference"
765,"SF Austin","kaggle"
766,"Siena","kaggle"
766,"Siena","sports-reference"
767,"Southern Methodist","sports-reference"
767,"SMU","kaggle"
768,"South Alabama","kaggle"
768,"South Alabama","sports-reference"
769,"South Carolina","kaggle"
769,"South Carolina","sports-reference"
770,"South Dakota","kaggle"
770,"South Dakota","sports-reference"
771,"South Florida","kaggle"
771,"South Florida","sports-reference"
772,"Southern Mississippi","sports-reference"
772,"Southern Miss","kaggle"
773,"Southern","sports-reference"
773,"Southern Univ","kaggle"
774,"Southern Utah","kaggle"
774,"Southern Utah","sports-reference"
775,"St Bonaventure","kaggle"
775,"St Bonaventure","sports-reference"
776,"St Francis NY","kaggle"
776,"St Francis NY","sports-reference"
777,"Saint Francis PA","sports-reference"
777,"St Francis PA","kaggle"
778,"St Johns NY","sports-reference"
778,"St John's","kaggle"
779,"Saint Josephs","sports-reference"
779,"St Joseph's PA","kaggle"
780,"Saint Louis","sports-reference"
780,"St Louis","kaggle"
781,"Saint Marys CA","sports-reference"
781,"St Mary's CA","kaggle"
782,"Saint Peters","sports-reference"
782,"St Peter's","kaggle"
783,"Stanford","kaggle"
783,"Stanford","sports-reference"
784,"Stetson","kaggle"
784,"Stetson","sports-reference"
785,"Stony Brook","kaggle"
785,"Stony Brook","sports-reference"
786,"Syracuse","kaggle"
786,"Syracuse","sports-reference"
787,"Texas AM Corpus Christi","sports-reference"
787,"TAM C. Christi","kaggle"
788,"Texas Christian","sports-reference"
788,"TCU","kaggle"
789,"Temple","kaggle"
789,"Temple","sports-reference"
790,"Tennessee","kaggle"
790,"Tennessee","sports-reference"
791,"Tennessee State","sports-reference"
791,"Tennessee St","kaggle"
792,"Tennessee Tech","kaggle"
792,"Tennessee Tech","sports-reference"
793,"Texas","kaggle"
793,"Texas","sports-reference"
794,"Texas AM","sports-reference"
794,"Texas A&M","kaggle"
795,"Texas State","sports-reference"
795,"Texas St","kaggle"
796,"Texas Tech","kaggle"
796,"Texas Tech","sports-reference"
797,"Tennessee-Martin","sports-reference"
797,"TN Martin","kaggle"
798,"Toledo","kaggle"
798,"Toledo","sports-reference"
799,"Towson","kaggle"
799,"Towson","sports-reference"
800,"Troy","kaggle"
800,"Troy","sports-reference"
801,"Tulane","kaggle"
801,"Tulane","sports-reference"
802,"Tulsa","kaggle"
802,"Tulsa","sports-reference"
803,"Texas Pan American","sports-reference"
803,"TX Pan American","kaggle"
804,"Texas Southern","sports-reference"
804,"TX Southern","kaggle"
805,"Alabama-Birmingham","sports-reference"
805,"UAB","kaggle"
806,"California Davis","sports-reference"
806,"UC Davis","kaggle"
807,"California Irvine","sports-reference"
807,"UC Irvine","kaggle"
808,"California Riverside","sports-reference"
808,"UC Riverside","kaggle"
809,"Central Florida","sports-reference"
809,"UCF","kaggle"
810,"UCLA","kaggle"
810,"UCLA","sports-reference"
811,"Louisiana-Lafayette","sports-reference"
811,"ULL","kaggle"
812,"Louisiana-Monroe","sports-reference"
812,"ULM","kaggle"
813,"Maryland-Baltimore County","sports-reference"
813,"UMBC","kaggle"
814,"North Carolina Asheville","sports-reference"
814,"UNC Asheville","kaggle"
815,"North Carolina Greensboro","sports-reference"
815,"UNC Greensboro","kaggle"
816,"North Carolina Wilmington","sports-reference"
816,"UNC Wilmington","kaggle"
817,"Nevada Las Vegas","sports-reference"
817,"UNLV","kaggle"
818,"Southern California","sports-reference"
818,"USC","kaggle"
819,"Texas Arlington","sports-reference"
819,"UT Arlington","kaggle"
820,"Texas San Antonio","sports-reference"
820,"UT San Antonio","kaggle"
821,"Utah","kaggle"
821,"Utah","sports-reference"
822,"Utah State","sports-reference"
822,"Utah St","kaggle"
823,"Utah Valley","kaggle"
823,"Utah Valley","sports-reference"
824,"Texas El Paso","sports-reference"
824,"UTEP","kaggle"
825,"Virginia Commonwealth","sports-reference"
825,"VA Commonwealth","kaggle"
826,"Valparaiso","kaggle"
826,"Valparaiso","sports-reference"
827,"Vanderbilt","kaggle"
827,"Vanderbilt","sports-reference"
828,"Vermont","kaggle"
828,"Vermont","sports-reference"
829,"Villanova","kaggle"
829,"Villanova","sports-reference"
830,"Virginia","kaggle"
830,"Virginia","sports-reference"
831,"Virginia Tech","kaggle"
831,"Virginia Tech","sports-reference"
832,"Virginia Military Institute","sports-reference"
832,"VMI","kaggle"
833,"Western Carolina","sports-reference"
833,"W Carolina","kaggle"
834,"Western Illinois","sports-reference"
834,"W Illinois","kaggle"
835,"Western Kentucky","sports-reference"
835,"W Kentucky","kaggle"
836,"Western Michigan","sports-reference"
836,"W Michigan","kaggle"
837,"Winston-Salem","sports-reference"
837,"W Salem St","kaggle"
838,"Wagner","kaggle"
838,"Wagner","sports-reference"
839,"Wake Forest","kaggle"
839,"Wake Forest","sports-reference"
840,"Washington","kaggle"
840,"Washington","sports-reference"
841,"Washington State","sports-reference"
841,"Washington St","kaggle"
842,"Weber State","sports-reference"
842,"Weber St","kaggle"
843,"West Virginia","kaggle"
843,"West Virginia","sports-reference"
844,"Green Bay","sports-reference"
844,"WI Green Bay","kaggle"
845,"Milwaukee","sports-reference"
845,"WI Milwaukee","kaggle"
846,"Wichita State","sports-reference"
846,"Wichita St","kaggle"
847,"William Mary","sports-reference"
847,"William & Mary","kaggle"
848,"Winthrop","kaggle"
848,"Winthrop","sports-reference"
849,"Wisconsin","kaggle"
849,"Wisconsin","sports-reference"
850,"Wofford","kaggle"
850,"Wofford","sports-reference"
851,"Wright State","sports-reference"
851,"Wright St","kaggle"
852,"Wyoming","kaggle"
852,"Wyoming","sports-reference"
853,"Xavier","kaggle"
853,"Xavier","sports-reference"
854,"Yale","kaggle"
854,"Yale","sports-reference"
855,"Youngstown State","sports-reference"
855,"Youngstown St","kaggle"
856,"Incarnate Word","kaggle"
856,"Incarnate Word","sports-reference"
