"","lo_win","year","hiteam","loteam","hi.G","hi.MP","hi.FG","hi.FGA","hi.FG_percent","hi.X2P","hi.X2PA","hi.X2P_percent","hi.X3P","hi.X3PA","hi.X3P_percent","hi.FT","hi.FTA","hi.FT_percent","hi.ORB","hi.DRB","hi.TRB","hi.AST","hi.STL","hi.BLK","hi.TOV","hi.PF","hi.PTS","hi.PTSperG","lo.G","lo.MP","lo.FG","lo.FGA","lo.FG_percent","lo.X2P","lo.X2PA","lo.X2P_percent","lo.X3P","lo.X3PA","lo.X3P_percent","lo.FT","lo.FTA","lo.FT_percent","lo.ORB","lo.DRB","lo.TRB","lo.AST","lo.STL","lo.BLK","lo.TOV","lo.PF","lo.PTS","lo.PTSperG"
"22",0,2000,636,573,34,NA,1044,2269,0.46,885,1806,0.49,159,463,0.343,429,660,0.65,NA,NA,1633,630,312,187,NA,NA,2676,78.7,33,NA,877,1935,0.453,682,1372,0.497,195,563,0.346,438,655,0.669,NA,NA,1403,494,267,126,NA,NA,2387,72.3
"23",0,2000,668,515,34,NA,849,1971,0.431,717,1531,0.468,132,440,0.3,516,690,0.748,NA,NA,1357,498,286,126,NA,NA,2346,69,34,NA,931,2168,0.429,639,1336,0.478,292,832,0.351,375,622,0.603,NA,NA,1309,458,379,120,NA,NA,2529,74.4
"24",0,2000,708,676,36,NA,1014,2066,0.491,845,1574,0.537,169,492,0.343,518,740,0.7,NA,NA,1494,609,210,178,NA,NA,2715,75.4,31,NA,771,1822,0.423,480,1018,0.472,291,804,0.362,469,661,0.71,NA,NA,1121,426,275,61,NA,NA,2302,74.3
"25",0,2000,720,510,30,NA,797,1748,0.456,652,1292,0.505,145,456,0.318,443,629,0.704,NA,NA,1229,387,194,200,NA,NA,2182,72.7,32,NA,915,1882,0.486,715,1367,0.523,200,515,0.388,500,705,0.709,NA,NA,1238,534,325,127,NA,NA,2530,79.1
"26",0,2000,722,615,34,NA,933,1946,0.479,717,1387,0.517,216,559,0.386,538,768,0.701,NA,NA,1413,642,260,122,NA,NA,2620,77.1,31,NA,827,1813,0.456,602,1186,0.508,225,627,0.359,428,623,0.687,NA,NA,1220,435,270,121,NA,NA,2307,74.4
"27",0,2000,730,625,34,NA,929,2094,0.444,692,1406,0.492,237,688,0.344,386,577,0.669,NA,NA,1379,494,319,99,NA,NA,2481,73,29,NA,811,1697,0.478,684,1361,0.503,127,336,0.378,504,711,0.709,NA,NA,1220,466,217,141,NA,NA,2253,77.7
"28",0,2000,764,725,32,NA,807,1865,0.433,557,1180,0.472,250,685,0.365,431,636,0.678,NA,NA,1297,458,225,198,NA,NA,2295,71.7,30,NA,808,1722,0.469,636,1170,0.544,172,552,0.312,481,646,0.745,NA,NA,1156,491,206,88,NA,NA,2269,75.6
"29",0,2000,783,747,31,NA,819,1750,0.468,574,1137,0.505,245,613,0.4,564,794,0.71,NA,NA,1432,539,141,167,NA,NA,2447,78.9,34,NA,829,2117,0.392,616,1479,0.416,213,638,0.334,515,765,0.673,NA,NA,1537,370,237,138,NA,NA,2386,70.2
"30",0,2000,789,642,33,NA,790,1913,0.413,516,1126,0.458,274,787,0.348,406,619,0.656,NA,NA,1378,471,312,140,NA,NA,2260,68.5,31,NA,774,1704,0.454,525,1065,0.493,249,639,0.39,483,672,0.719,NA,NA,1201,473,313,104,NA,NA,2280,73.5
"31",1,2000,811,790,34,NA,880,2047,0.43,680,1446,0.47,200,601,0.333,479,778,0.616,NA,NA,1489,496,271,115,NA,NA,2441,71.8,33,NA,909,2019,0.45,643,1283,0.501,266,736,0.361,545,798,0.683,NA,NA,1445,481,290,193,NA,NA,2629,79.7
"32",1,2000,817,802,31,NA,929,2043,0.455,762,1515,0.503,167,528,0.316,523,768,0.681,NA,NA,1359,623,263,139,NA,NA,2548,82.2,37,NA,1050,2223,0.472,786,1459,0.539,264,764,0.346,610,865,0.705,NA,NA,1497,631,433,175,NA,NA,2974,80.4
"33",1,2000,778,607,33,NA,929,2002,0.464,780,1528,0.51,149,474,0.314,426,629,0.677,NA,NA,1133,541,352,89,NA,NA,2433,73.7,35,NA,965,2014,0.479,705,1299,0.543,260,715,0.364,529,795,0.665,NA,NA,1432,587,202,150,NA,NA,2719,77.7
"34",0,2000,629,518,37,NA,1038,2140,0.485,848,1622,0.523,190,518,0.367,632,899,0.703,NA,NA,1539,565,277,119,NA,NA,2898,78.3,34,NA,874,2118,0.413,647,1423,0.455,227,695,0.327,448,684,0.655,NA,NA,1475,438,247,110,NA,NA,2423,71.3
"35",1,2000,793,655,32,NA,966,2135,0.452,706,1450,0.487,260,685,0.38,621,812,0.765,NA,NA,1359,609,293,204,NA,NA,2813,87.9,34,NA,915,1880,0.487,719,1322,0.544,196,558,0.351,552,858,0.643,NA,NA,1524,503,313,180,NA,NA,2578,75.8
"36",1,2000,821,671,32,NA,782,1624,0.482,560,1050,0.533,222,574,0.387,466,648,0.719,NA,NA,1147,496,198,89,NA,NA,2252,70.4,39,NA,1018,2148,0.474,765,1479,0.517,253,669,0.378,600,816,0.735,NA,NA,1625,602,256,105,NA,NA,2889,74.1
"37",0,2000,738,721,34,NA,849,1914,0.444,643,1325,0.485,206,589,0.35,601,879,0.684,NA,NA,1364,482,261,104,NA,NA,2505,73.7,34,NA,917,2004,0.458,654,1317,0.497,263,687,0.383,449,632,0.71,NA,NA,1328,525,241,89,NA,NA,2546,74.9
"38",0,2000,786,640,32,NA,876,1869,0.469,705,1386,0.509,171,483,0.354,477,677,0.705,NA,NA,1294,564,286,167,NA,NA,2400,75,33,NA,793,1873,0.423,605,1230,0.492,188,643,0.292,506,735,0.688,NA,NA,1432,427,201,185,NA,NA,2280,69.1
"39",0,2000,810,662,33,NA,952,1984,0.48,747,1432,0.522,205,552,0.371,383,652,0.587,NA,NA,1386,545,282,145,NA,NA,2492,75.5,35,NA,1001,2151,0.465,806,1598,0.504,195,553,0.353,486,710,0.685,NA,NA,1454,667,355,235,NA,NA,2683,76.7
"40",0,2000,849,511,36,NA,765,1793,0.427,558,1191,0.469,207,602,0.344,420,617,0.681,NA,NA,1199,478,236,102,NA,NA,2157,59.9,34,NA,904,1976,0.457,749,1494,0.501,155,482,0.322,636,871,0.73,NA,NA,1444,537,255,192,NA,NA,2599,76.4
"41",1,2000,636,577,34,NA,1044,2269,0.46,885,1806,0.49,159,463,0.343,429,660,0.65,NA,NA,1633,630,312,187,NA,NA,2676,78.7,34,NA,1045,2172,0.481,761,1430,0.532,284,742,0.383,618,833,0.742,NA,NA,1432,584,333,191,NA,NA,2992,88
"42",1,2000,623,592,32,NA,834,1925,0.433,603,1273,0.474,231,652,0.354,525,763,0.688,NA,NA,1307,499,297,119,NA,NA,2424,75.8,37,NA,1104,2299,0.48,838,1567,0.535,266,732,0.363,628,885,0.71,NA,NA,1587,611,365,141,NA,NA,3102,83.8
"43",1,2000,720,668,30,NA,797,1748,0.456,652,1292,0.505,145,456,0.318,443,629,0.704,NA,NA,1229,387,194,200,NA,NA,2182,72.7,34,NA,849,1971,0.431,717,1531,0.468,132,440,0.3,516,690,0.748,NA,NA,1357,498,286,126,NA,NA,2346,69
"44",1,2000,783,708,31,NA,819,1750,0.468,574,1137,0.505,245,613,0.4,564,794,0.71,NA,NA,1432,539,141,167,NA,NA,2447,78.9,36,NA,1014,2066,0.491,845,1574,0.537,169,492,0.343,518,740,0.7,NA,NA,1494,609,210,178,NA,NA,2715,75.4
"45",1,2000,730,722,34,NA,929,2094,0.444,692,1406,0.492,237,688,0.344,386,577,0.669,NA,NA,1379,494,319,99,NA,NA,2481,73,34,NA,933,1946,0.479,717,1387,0.517,216,559,0.386,538,768,0.701,NA,NA,1413,642,260,122,NA,NA,2620,77.1
"46",1,2000,789,764,33,NA,790,1913,0.413,516,1126,0.458,274,787,0.348,406,619,0.656,NA,NA,1378,471,312,140,NA,NA,2260,68.5,32,NA,807,1865,0.433,557,1180,0.472,250,685,0.365,431,636,0.678,NA,NA,1297,458,225,198,NA,NA,2295,71.7
"47",0,2000,790,559,33,NA,909,2019,0.45,643,1283,0.501,266,736,0.361,545,798,0.683,NA,NA,1445,481,290,193,NA,NA,2629,79.7,35,NA,956,2071,0.462,772,1594,0.484,184,477,0.386,515,707,0.728,NA,NA,1466,529,230,179,NA,NA,2611,74.6
"48",0,2000,802,549,37,NA,1050,2223,0.472,786,1459,0.539,264,764,0.346,610,865,0.705,NA,NA,1497,631,433,175,NA,NA,2974,80.4,33,NA,898,1871,0.48,733,1412,0.519,165,459,0.359,599,854,0.701,NA,NA,1399,513,236,223,NA,NA,2560,77.6
"49",1,2000,810,629,33,NA,952,1984,0.48,747,1432,0.522,205,552,0.371,383,652,0.587,NA,NA,1386,545,282,145,NA,NA,2492,75.5,37,NA,1038,2140,0.485,848,1622,0.523,190,518,0.367,632,899,0.703,NA,NA,1539,565,277,119,NA,NA,2898,78.3
"50",1,2000,786,671,32,NA,876,1869,0.469,705,1386,0.509,171,483,0.354,477,677,0.705,NA,NA,1294,564,286,167,NA,NA,2400,75,39,NA,1018,2148,0.474,765,1479,0.517,253,669,0.378,600,816,0.735,NA,NA,1625,602,256,105,NA,NA,2889,74.1
"51",0,2000,738,607,34,NA,849,1914,0.444,643,1325,0.485,206,589,0.35,601,879,0.684,NA,NA,1364,482,261,104,NA,NA,2505,73.7,35,NA,965,2014,0.479,705,1299,0.543,260,715,0.364,529,795,0.665,NA,NA,1432,587,202,150,NA,NA,2719,77.7
"52",0,2000,849,655,36,NA,765,1793,0.427,558,1191,0.469,207,602,0.344,420,617,0.681,NA,NA,1199,478,236,102,NA,NA,2157,59.9,34,NA,915,1880,0.487,719,1322,0.544,196,558,0.351,552,858,0.643,NA,NA,1524,503,313,180,NA,NA,2578,75.8
"53",0,2000,592,577,37,NA,1104,2299,0.48,838,1567,0.535,266,732,0.363,628,885,0.71,NA,NA,1587,611,365,141,NA,NA,3102,83.8,34,NA,1045,2172,0.481,761,1430,0.532,284,742,0.383,618,833,0.742,NA,NA,1432,584,333,191,NA,NA,2992,88
"54",1,2000,790,708,33,NA,909,2019,0.45,643,1283,0.501,266,736,0.361,545,798,0.683,NA,NA,1445,481,290,193,NA,NA,2629,79.7,36,NA,1014,2066,0.491,845,1574,0.537,169,492,0.343,518,740,0.7,NA,NA,1494,609,210,178,NA,NA,2715,75.4
"55",1,2000,764,722,32,NA,807,1865,0.433,557,1180,0.472,250,685,0.365,431,636,0.678,NA,NA,1297,458,225,198,NA,NA,2295,71.7,34,NA,933,1946,0.479,717,1387,0.517,216,559,0.386,538,768,0.701,NA,NA,1413,642,260,122,NA,NA,2620,77.1
"56",0,2000,802,668,37,NA,1050,2223,0.472,786,1459,0.539,264,764,0.346,610,865,0.705,NA,NA,1497,631,433,175,NA,NA,2974,80.4,34,NA,849,1971,0.431,717,1531,0.468,132,440,0.3,516,690,0.748,NA,NA,1357,498,286,126,NA,NA,2346,69
"57",0,2000,671,629,39,NA,1018,2148,0.474,765,1479,0.517,253,669,0.378,600,816,0.735,NA,NA,1625,602,256,105,NA,NA,2889,74.1,37,NA,1038,2140,0.485,848,1622,0.523,190,518,0.367,632,899,0.703,NA,NA,1539,565,277,119,NA,NA,2898,78.3
"58",0,2000,849,738,36,NA,765,1793,0.427,558,1191,0.469,207,602,0.344,420,617,0.681,NA,NA,1199,478,236,102,NA,NA,2157,59.9,34,NA,849,1914,0.444,643,1325,0.485,206,589,0.35,601,879,0.684,NA,NA,1364,482,261,104,NA,NA,2505,73.7
"59",1,2000,722,592,34,NA,933,1946,0.479,717,1387,0.517,216,559,0.386,538,768,0.701,NA,NA,1413,642,260,122,NA,NA,2620,77.1,37,NA,1104,2299,0.48,838,1567,0.535,266,732,0.363,628,885,0.71,NA,NA,1587,611,365,141,NA,NA,3102,83.8
"60",1,2000,802,708,37,NA,1050,2223,0.472,786,1459,0.539,264,764,0.346,610,865,0.705,NA,NA,1497,631,433,175,NA,NA,2974,80.4,36,NA,1014,2066,0.491,845,1574,0.537,169,492,0.343,518,740,0.7,NA,NA,1494,609,210,178,NA,NA,2715,75.4
"61",1,2000,708,592,36,NA,1014,2066,0.491,845,1574,0.537,169,492,0.343,518,740,0.7,NA,NA,1494,609,210,178,NA,NA,2715,75.4,37,NA,1104,2299,0.48,838,1567,0.535,266,732,0.363,628,885,0.71,NA,NA,1587,611,365,141,NA,NA,3102,83.8
"62",1,2000,849,671,36,NA,765,1793,0.427,558,1191,0.469,207,602,0.344,420,617,0.681,NA,NA,1199,478,236,102,NA,NA,2157,59.9,39,NA,1018,2148,0.474,765,1479,0.517,253,669,0.378,600,816,0.735,NA,NA,1625,602,256,105,NA,NA,2889,74.1
"63",0,2000,671,592,39,NA,1018,2148,0.474,765,1479,0.517,253,669,0.378,600,816,0.735,NA,NA,1625,602,256,105,NA,NA,2889,74.1,37,NA,1104,2299,0.48,838,1567,0.535,266,732,0.363,628,885,0.71,NA,NA,1587,611,365,141,NA,NA,3102,83.8
"64",1,2001,848,716,31,NA,684,1676,0.408,469,1063,0.441,215,613,0.351,454,661,0.687,NA,NA,1194,351,223,78,NA,NA,2037,65.7,32,NA,768,1856,0.414,593,1305,0.454,175,551,0.318,581,877,0.662,NA,NA,1296,392,308,133,NA,NA,2292,71.6
"65",1,2001,774,527,31,NA,783,1602,0.489,586,1109,0.528,197,493,0.4,480,673,0.713,NA,NA,1090,462,321,87,NA,NA,2243,72.4,32,NA,879,1934,0.454,649,1283,0.506,230,651,0.353,559,788,0.709,NA,NA,1273,464,326,97,NA,NA,2547,79.6
"66",0,2001,549,536,35,NA,921,2076,0.444,707,1476,0.479,214,600,0.357,530,760,0.697,NA,NA,1344,451,194,118,NA,NA,2586,73.9,33,NA,744,1620,0.459,559,1135,0.493,185,485,0.381,651,835,0.78,NA,NA,1126,414,203,108,NA,NA,2324,70.4
"67",1,2001,679,577,31,NA,756,1664,0.454,555,1094,0.507,201,570,0.353,467,678,0.689,NA,NA,1142,439,280,105,NA,NA,2180,70.3,39,NA,1217,2530,0.481,810,1473,0.55,407,1057,0.385,697,1002,0.696,NA,NA,1680,701,411,196,NA,NA,3538,90.7
"68",0,2001,603,515,33,NA,924,2115,0.437,738,1554,0.475,186,561,0.332,540,817,0.661,NA,NA,1609,547,324,198,NA,NA,2574,78,31,NA,881,1990,0.443,608,1249,0.487,273,741,0.368,441,639,0.69,NA,NA,1223,476,365,124,NA,NA,2476,79.9
"69",1,2001,849,605,29,NA,575,1349,0.426,401,872,0.46,174,477,0.365,399,568,0.702,NA,NA,951,358,172,68,NA,NA,1723,59.4,34,NA,929,2068,0.449,653,1288,0.507,276,780,0.354,567,808,0.702,NA,NA,1335,449,351,129,NA,NA,2701,79.4
"70",1,2001,629,610,31,NA,823,1735,0.474,641,1299,0.493,182,436,0.417,623,856,0.728,NA,NA,1335,429,190,102,NA,NA,2451,79.1,32,NA,850,1846,0.46,650,1271,0.511,200,575,0.348,571,835,0.684,NA,NA,1362,449,218,185,NA,NA,2471,77.2
"71",0,2001,628,562,35,NA,815,1895,0.43,605,1322,0.458,210,573,0.366,753,1068,0.705,NA,NA,1499,474,191,83,NA,NA,2593,74.1,32,NA,788,1782,0.442,539,1088,0.495,249,694,0.359,500,712,0.702,NA,NA,1189,490,293,114,NA,NA,2325,72.7
"72",0,2001,639,625,34,NA,823,1917,0.429,643,1401,0.459,180,516,0.349,564,739,0.763,NA,NA,1191,429,233,105,NA,NA,2390,70.3,34,NA,858,1896,0.453,677,1396,0.485,181,500,0.362,511,804,0.636,NA,NA,1404,513,231,178,NA,NA,2408,70.8
"73",0,2001,640,616,34,NA,988,2051,0.482,743,1343,0.553,245,708,0.346,492,751,0.655,NA,NA,1452,539,229,151,NA,NA,2713,79.8,30,NA,640,1437,0.445,504,1049,0.48,136,388,0.351,618,940,0.657,NA,NA,1295,385,188,157,NA,NA,2034,67.8
"74",0,2001,662,602,36,NA,1120,2313,0.484,915,1773,0.516,205,540,0.38,622,894,0.696,NA,NA,1602,692,322,213,NA,NA,3067,85.2,30,NA,784,1705,0.46,642,1266,0.507,142,439,0.323,417,633,0.659,NA,NA,1114,411,252,129,NA,NA,2127,70.9
"75",0,2001,676,604,33,NA,847,2015,0.42,568,1281,0.443,279,734,0.38,520,742,0.701,NA,NA,1361,418,258,132,NA,NA,2493,75.5,31,NA,845,1820,0.464,703,1409,0.499,142,411,0.345,425,632,0.672,NA,NA,1277,471,195,149,NA,NA,2257,72.8
"76",0,2001,779,606,33,NA,905,1879,0.482,650,1163,0.559,255,716,0.356,560,808,0.693,NA,NA,1355,590,204,128,NA,NA,2625,79.5,30,NA,776,1822,0.426,516,1122,0.46,260,700,0.371,457,662,0.69,NA,NA,1241,488,238,136,NA,NA,2269,75.6
"77",1,2001,815,783,31,NA,773,1741,0.444,589,1261,0.467,184,480,0.383,552,718,0.769,NA,NA,1124,414,271,118,NA,NA,2282,73.6,34,NA,953,1865,0.511,701,1278,0.549,252,587,0.429,671,903,0.743,NA,NA,1364,568,187,108,NA,NA,2829,83.2
"78",0,2001,810,615,32,NA,902,1947,0.463,712,1412,0.504,190,535,0.355,550,829,0.663,NA,NA,1369,464,249,127,NA,NA,2544,79.5,31,NA,784,1657,0.473,617,1154,0.535,167,503,0.332,522,807,0.647,NA,NA,1298,414,237,119,NA,NA,2257,72.8
"79",0,2001,818,722,34,NA,898,1955,0.459,690,1358,0.508,208,597,0.348,616,873,0.706,NA,NA,1388,514,259,151,NA,NA,2620,77.1,30,NA,767,1652,0.464,638,1257,0.508,129,395,0.327,466,736,0.633,NA,NA,1250,406,241,115,NA,NA,2129,71
"80",0,2001,822,720,34,NA,852,1755,0.485,652,1242,0.525,200,513,0.39,500,743,0.673,NA,NA,1279,511,220,132,NA,NA,2404,70.7,31,NA,775,1645,0.471,606,1202,0.504,169,443,0.381,487,697,0.699,NA,NA,1224,473,161,160,NA,NA,2206,71.2
"81",1,2001,579,511,31,NA,915,1931,0.474,685,1347,0.509,230,584,0.394,504,650,0.775,NA,NA,1194,514,197,116,NA,NA,2564,82.7,36,NA,1015,2131,0.476,822,1587,0.518,193,544,0.355,703,940,0.748,NA,NA,1563,585,283,159,NA,NA,2926,81.3
"82",1,2001,839,535,30,NA,838,1815,0.462,661,1321,0.5,177,494,0.358,443,609,0.727,NA,NA,1182,465,219,136,NA,NA,2296,76.5,32,NA,755,1643,0.46,504,1026,0.491,251,617,0.407,467,652,0.716,NA,NA,1044,388,222,89,NA,NA,2228,69.6
"83",1,2001,790,546,33,NA,909,1980,0.459,652,1283,0.508,257,697,0.369,593,872,0.68,NA,NA,1319,528,232,191,NA,NA,2668,80.8,33,NA,873,1998,0.437,568,1150,0.494,305,848,0.36,532,777,0.685,NA,NA,1386,471,231,97,NA,NA,2583,78.3
"84",1,2001,835,592,31,NA,812,1789,0.454,599,1184,0.506,213,605,0.352,466,674,0.691,NA,NA,1342,452,246,155,NA,NA,2303,74.3,31,NA,849,1764,0.481,593,1096,0.541,256,668,0.383,555,761,0.729,NA,NA,1231,538,271,114,NA,NA,2509,80.9
"85",0,2001,597,539,33,NA,954,2030,0.47,713,1352,0.527,241,678,0.355,540,793,0.681,NA,NA,1355,592,330,209,NA,NA,2689,81.5,31,NA,813,1699,0.479,637,1196,0.533,176,503,0.35,502,732,0.686,NA,NA,1116,508,225,66,NA,NA,2304,74.3
"86",1,2001,830,607,29,NA,852,1872,0.455,648,1319,0.491,204,553,0.369,556,755,0.736,NA,NA,1246,420,221,98,NA,NA,2464,85,33,NA,915,1793,0.51,670,1187,0.564,245,606,0.404,645,947,0.681,NA,NA,1392,537,191,135,NA,NA,2720,82.4
"87",1,2001,716,623,32,NA,768,1856,0.414,593,1305,0.454,175,551,0.318,581,877,0.662,NA,NA,1296,392,308,133,NA,NA,2292,71.6,35,NA,929,2046,0.454,682,1368,0.499,247,678,0.364,620,880,0.705,NA,NA,1527,550,269,146,NA,NA,2725,77.9
"88",1,2001,721,626,33,NA,859,1924,0.446,617,1288,0.479,242,636,0.381,494,668,0.74,NA,NA,1253,444,281,91,NA,NA,2454,74.4,34,NA,861,1872,0.46,648,1278,0.507,213,594,0.359,544,772,0.705,NA,NA,1159,521,237,100,NA,NA,2479,72.9
"89",0,2001,636,565,33,NA,1002,1996,0.502,819,1531,0.535,183,465,0.394,520,789,0.659,NA,NA,1524,641,217,170,NA,NA,2707,82,32,NA,910,1842,0.494,693,1295,0.535,217,547,0.397,613,865,0.709,NA,NA,1244,608,267,77,NA,NA,2650,82.8
"90",0,2001,671,506,33,NA,957,1957,0.489,811,1504,0.539,146,453,0.322,493,686,0.719,NA,NA,1498,579,210,133,NA,NA,2553,77.4,31,NA,756,1713,0.441,591,1207,0.49,165,506,0.326,458,696,0.658,NA,NA,1245,410,260,93,NA,NA,2135,68.9
